trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-137.00076266613357,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-144.56313579997519,"{0: 12, 1: 1, 2: 11, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",25,0,-131.0916345284986,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-70.89848098256225,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-187.45772546930147,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-80.79834069269728,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",35,0,-95.01372536258783,"{0: 23, 1: 6, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-187.94087707893533,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-50.97258002573388,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-99.64264301112878,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-118.49080756133803,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-149.31512045079228,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-171.95514326774446,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",35,10,-148.77041355426655,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-91.93504899888727,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-54.29783718687734,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-101.74114729224378,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-92.75627479099751,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,0,-187.11842812463647,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-97.61647616259623,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,5,-85.1611476597961,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",30,0,-197.70801149244548,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,11,-8.201977015133732,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-133.29404493638003,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-55.794106871693415,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-116.92535858603796,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-212.5205383711131,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",25,0,-98.89670519729734,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-36.075278388945534,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,-195.421384842411,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
